city,code,flight_number,source_id,destination_id,departure_datetime,arrival_datetime,total_seats,price,class_name,seat_class_id,class_total_Seats,class_available_seats,seat_class_id,multiplier
Toronto,YYZ,YN343,7,3,2025-07-31 09:21:06,2025-07-31 17:21:06,166,7008.43,Second Class,1,81,33,1,2.14
Toronto,YYZ,YN343,7,3,2025-07-31 09:21:06,2025-07-31 17:21:06,166,7008.43,Economy,2,88,57,2,1.9
Tokyo,TYO,TO843,3,2,2025-07-25 07:10:17,2025-07-25 16:10:17,215,7588.33,First Class,0,73,9,0,2.42
Tokyo,TYO,TO843,3,2,2025-07-25 07:10:17,2025-07-25 16:10:17,215,7588.33,Second Class,1,57,18,1,2.39
Tokyo,TYO,TO843,3,2,2025-07-25 07:10:17,2025-07-25 16:10:17,215,7588.33,Economy,2,63,4,2,1.4
Toronto,YYZ,UD991,7,5,2025-07-28 23:55:00,2025-07-29 07:55:00,271,8337.87,First Class,0,60,17,0,2.69
Toronto,YYZ,UD991,7,5,2025-07-28 23:55:00,2025-07-29 07:55:00,271,8337.87,Second Class,1,47,6,1,1.98
Toronto,YYZ,UD991,7,5,2025-07-28 23:55:00,2025-07-29 07:55:00,271,8337.87,Economy,2,55,19,2,1.23
Toronto,YYZ,ZE357,7,6,2025-07-31 14:35:42,2025-07-31 19:35:42,201,4980.25,First Class,0,77,32,0,1.97
Toronto,YYZ,ZE357,7,6,2025-07-31 14:35:42,2025-07-31 19:35:42,201,4980.25,Second Class,1,94,12,1,1.11
Toronto,YYZ,ZE357,7,6,2025-07-31 14:35:42,2025-07-31 19:35:42,201,4980.25,Economy,2,91,30,2,1.02
Paris,PAR,ET298,2,7,2025-07-31 22:24:32,2025-08-01 06:24:32,160,3296.59,First Class,0,69,31,0,1.81
Paris,PAR,ET298,2,7,2025-07-31 22:24:32,2025-08-01 06:24:32,160,3296.59,Second Class,1,84,48,1,1.53
Paris,PAR,ET298,2,7,2025-07-31 22:24:32,2025-08-01 06:24:32,160,3296.59,Economy,2,49,39,2,2.49
Amsterdam,AMS,AM590,11,6,2025-08-16 00:12:15,2025-08-16 12:12:15,294,6082.09,First Class,0,55,4,0,1.51
Amsterdam,AMS,AM590,11,6,2025-08-16 00:12:15,2025-08-16 12:12:15,294,6082.09,Second Class,1,75,65,1,1.55
Amsterdam,AMS,AM590,11,6,2025-08-16 00:12:15,2025-08-16 12:12:15,294,6082.09,Economy,2,84,64,2,2.56
Paris,PAR,MA229,2,8,2025-08-02 23:36:41,2025-08-03 02:36:41,271,2420.16,First Class,0,58,4,0,1.88
Paris,PAR,MA229,2,8,2025-08-02 23:36:41,2025-08-03 02:36:41,271,2420.16,Second Class,1,44,24,1,2.56
Paris,PAR,MA229,2,8,2025-08-02 23:36:41,2025-08-03 02:36:41,271,2420.16,Economy,2,31,31,2,2.72
Tokyo,TYO,CB606,3,0,2025-08-02 15:52:02,2025-08-02 20:52:02,164,5347.86,First Class,0,39,32,0,2.04
Tokyo,TYO,CB606,3,0,2025-08-02 15:52:02,2025-08-02 20:52:02,164,5347.86,Second Class,1,72,24,1,1.97
Tokyo,TYO,CB606,3,0,2025-08-02 15:52:02,2025-08-02 20:52:02,164,5347.86,Economy,2,41,19,2,2.9
London,LON,ND529,1,3,2025-07-31 00:38:27,2025-07-31 05:38:27,245,1710.55,First Class,0,79,73,0,2.19
London,LON,ND529,1,3,2025-07-31 00:38:27,2025-07-31 05:38:27,245,1710.55,Second Class,1,48,24,1,2.89
London,LON,ND529,1,3,2025-07-31 00:38:27,2025-07-31 05:38:27,245,1710.55,Economy,2,65,57,2,1.69
Hong Kong,HKG,FD263,12,3,2025-08-15 11:45:34,2025-08-15 17:45:34,190,5829.77,First Class,0,32,20,0,2.26
Hong Kong,HKG,FD263,12,3,2025-08-15 11:45:34,2025-08-15 17:45:34,190,5829.77,Second Class,1,33,27,1,2.01
Hong Kong,HKG,FD263,12,3,2025-08-15 11:45:34,2025-08-15 17:45:34,190,5829.77,Economy,2,50,33,2,1.39
Rome,ROM,VP310,13,6,2025-07-29 04:44:26,2025-07-29 06:44:26,180,7359.15,First Class,0,35,1,0,2.58
Rome,ROM,VP310,13,6,2025-07-29 04:44:26,2025-07-29 06:44:26,180,7359.15,Second Class,1,54,39,1,1.59
Rome,ROM,VP310,13,6,2025-07-29 04:44:26,2025-07-29 06:44:26,180,7359.15,Economy,2,95,30,2,1.29
New York,NYC,RA882,0,13,2025-07-29 01:47:55,2025-07-29 09:47:55,198,6752.79,First Class,0,39,24,0,2.67
New York,NYC,RA882,0,13,2025-07-29 01:47:55,2025-07-29 09:47:55,198,6752.79,Second Class,1,34,0,1,1.1
New York,NYC,RA882,0,13,2025-07-29 01:47:55,2025-07-29 09:47:55,198,6752.79,Economy,2,84,82,2,1.47
Rome,ROM,FS304,13,7,2025-07-31 09:23:50,2025-07-31 17:23:50,283,3626.51,First Class,0,92,60,0,1.46
Rome,ROM,FS304,13,7,2025-07-31 09:23:50,2025-07-31 17:23:50,283,3626.51,Second Class,1,47,30,1,2.98
Rome,ROM,FS304,13,7,2025-07-31 09:23:50,2025-07-31 17:23:50,283,3626.51,Economy,2,56,53,2,1.22
Paris,PAR,ZI347,2,10,2025-07-25 09:06:58,2025-07-25 21:06:58,184,1104.85,First Class,0,47,0,0,2.4
Paris,PAR,ZI347,2,10,2025-07-25 09:06:58,2025-07-25 21:06:58,184,1104.85,Second Class,1,47,8,1,1.38
Paris,PAR,ZI347,2,10,2025-07-25 09:06:58,2025-07-25 21:06:58,184,1104.85,Economy,2,94,25,2,1.88
Singapore,SIN,VV707,5,3,2025-08-02 18:29:45,2025-08-02 20:29:45,293,1850.4,First Class,0,73,65,0,2.08
Singapore,SIN,VV707,5,3,2025-08-02 18:29:45,2025-08-02 20:29:45,293,1850.4,Second Class,1,89,48,1,1.5
Singapore,SIN,VV707,5,3,2025-08-02 18:29:45,2025-08-02 20:29:45,293,1850.4,Economy,2,86,67,2,1.32
Rome,ROM,FC868,13,1,2025-08-07 01:14:11,2025-08-07 03:14:11,181,7710.03,First Class,0,78,54,0,2.7
Rome,ROM,FC868,13,1,2025-08-07 01:14:11,2025-08-07 03:14:11,181,7710.03,Second Class,1,37,25,1,2.41
Rome,ROM,FC868,13,1,2025-08-07 01:14:11,2025-08-07 03:14:11,181,7710.03,Economy,2,96,11,2,2.33
London,LON,SJ819,1,3,2025-07-19 19:27:49,2025-07-19 21:27:49,294,2166.41,First Class,0,79,2,0,1.15
London,LON,SJ819,1,3,2025-07-19 19:27:49,2025-07-19 21:27:49,294,2166.41,Second Class,1,31,4,1,2.8
London,LON,SJ819,1,3,2025-07-19 19:27:49,2025-07-19 21:27:49,294,2166.41,Economy,2,68,8,2,1.8
Amsterdam,AMS,UB134,11,13,2025-07-24 15:45:22,2025-07-24 17:45:22,158,3422.08,First Class,0,37,28,0,1.58
Amsterdam,AMS,UB134,11,13,2025-07-24 15:45:22,2025-07-24 17:45:22,158,3422.08,Second Class,1,37,24,1,1.12
Amsterdam,AMS,UB134,11,13,2025-07-24 15:45:22,2025-07-24 17:45:22,158,3422.08,Economy,2,85,26,2,2.12
Rome,ROM,WB358,13,10,2025-07-23 16:37:06,2025-07-23 19:37:06,207,8393.3,First Class,0,95,78,0,2.73
Rome,ROM,WB358,13,10,2025-07-23 16:37:06,2025-07-23 19:37:06,207,8393.3,Second Class,1,33,32,1,1.95
Rome,ROM,WB358,13,10,2025-07-23 16:37:06,2025-07-23 19:37:06,207,8393.3,Economy,2,79,53,2,2.36
Tokyo,TYO,FH291,3,12,2025-08-01 12:50:54,2025-08-02 00:50:54,202,5014.59,First Class,0,75,26,0,1.39
Tokyo,TYO,FH291,3,12,2025-08-01 12:50:54,2025-08-02 00:50:54,202,5014.59,Second Class,1,42,13,1,2.01
Tokyo,TYO,FH291,3,12,2025-08-01 12:50:54,2025-08-02 00:50:54,202,5014.59,Economy,2,39,37,2,1.94
London,LON,TT855,1,4,2025-07-27 12:24:55,2025-07-27 15:24:55,209,1113.05,First Class,0,55,37,0,2.22
London,LON,TT855,1,4,2025-07-27 12:24:55,2025-07-27 15:24:55,209,1113.05,Second Class,1,55,6,1,2.52
London,LON,TT855,1,4,2025-07-27 12:24:55,2025-07-27 15:24:55,209,1113.05,Economy,2,58,16,2,1.36
San Francisco,SFO,FM561,8,3,2025-08-13 18:11:27,2025-08-14 02:11:27,200,8268.08,First Class,0,41,18,0,1.23
San Francisco,SFO,FM561,8,3,2025-08-13 18:11:27,2025-08-14 02:11:27,200,8268.08,Second Class,1,77,44,1,2.87
San Francisco,SFO,FM561,8,3,2025-08-13 18:11:27,2025-08-14 02:11:27,200,8268.08,Economy,2,80,77,2,1.05
Mumbai,BOM,YG441,14,13,2025-08-02 12:13:14,2025-08-02 22:13:14,216,3950.78,First Class,0,85,18,0,1.33
Mumbai,BOM,YG441,14,13,2025-08-02 12:13:14,2025-08-02 22:13:14,216,3950.78,Second Class,1,96,3,1,1.72
Mumbai,BOM,YG441,14,13,2025-08-02 12:13:14,2025-08-02 22:13:14,216,3950.78,Economy,2,50,48,2,1.91
Amsterdam,AMS,YG540,11,8,2025-08-12 19:51:25,2025-08-13 03:51:25,264,3124.78,First Class,0,66,23,0,2.29
Amsterdam,AMS,YG540,11,8,2025-08-12 19:51:25,2025-08-13 03:51:25,264,3124.78,Second Class,1,85,57,1,1.41
Amsterdam,AMS,YG540,11,8,2025-08-12 19:51:25,2025-08-13 03:51:25,264,3124.78,Economy,2,70,38,2,1.28
London,LON,ZE922,1,10,2025-07-28 10:15:00,2025-07-28 17:15:00,267,6014.3,First Class,0,65,26,0,1.02
London,LON,ZE922,1,10,2025-07-28 10:15:00,2025-07-28 17:15:00,267,6014.3,Second Class,1,67,49,1,1.74
London,LON,ZE922,1,10,2025-07-28 10:15:00,2025-07-28 17:15:00,267,6014.3,Economy,2,99,93,2,2.12
Berlin,BER,RI798,10,7,2025-07-30 17:53:11,2025-07-31 05:53:11,165,2151.36,First Class,0,71,34,0,1.45
Berlin,BER,RI798,10,7,2025-07-30 17:53:11,2025-07-31 05:53:11,165,2151.36,Second Class,1,46,10,1,1.57
Berlin,BER,RI798,10,7,2025-07-30 17:53:11,2025-07-31 05:53:11,165,2151.36,Economy,2,94,45,2,2.8
San Francisco,SFO,TH936,8,3,2025-07-24 05:30:53,2025-07-24 13:30:53,191,1378.3,First Class,0,83,70,0,1.21
San Francisco,SFO,TH936,8,3,2025-07-24 05:30:53,2025-07-24 13:30:53,191,1378.3,Second Class,1,35,23,1,1.18
San Francisco,SFO,TH936,8,3,2025-07-24 05:30:53,2025-07-24 13:30:53,191,1378.3,Economy,2,62,45,2,2.29
Amsterdam,AMS,MI217,11,14,2025-07-26 16:45:06,2025-07-27 02:45:06,209,4004.56,First Class,0,75,5,0,2.49
Amsterdam,AMS,MI217,11,14,2025-07-26 16:45:06,2025-07-27 02:45:06,209,4004.56,Second Class,1,67,40,1,1.91
Amsterdam,AMS,MI217,11,14,2025-07-26 16:45:06,2025-07-27 02:45:06,209,4004.56,Economy,2,58,15,2,2.44
Paris,PAR,WH771,2,13,2025-08-01 22:36:49,2025-08-02 06:36:49,244,6265.82,First Class,0,31,1,0,1.0
Paris,PAR,WH771,2,13,2025-08-01 22:36:49,2025-08-02 06:36:49,244,6265.82,Second Class,1,75,13,1,1.33
Paris,PAR,WH771,2,13,2025-08-01 22:36:49,2025-08-02 06:36:49,244,6265.82,Economy,2,60,1,2,2.81
Mumbai,BOM,HE523,14,0,2025-07-21 19:52:41,2025-07-21 23:52:41,189,8307.91,First Class,0,56,19,0,2.84
Mumbai,BOM,HE523,14,0,2025-07-21 19:52:41,2025-07-21 23:52:41,189,8307.91,Second Class,1,83,30,1,1.5
Mumbai,BOM,HE523,14,0,2025-07-21 19:52:41,2025-07-21 23:52:41,189,8307.91,Economy,2,57,11,2,1.39
Toronto,YYZ,DL811,7,2,2025-07-21 21:11:59,2025-07-22 04:11:59,230,9812.5,First Class,0,87,41,0,2.63
Toronto,YYZ,DL811,7,2,2025-07-21 21:11:59,2025-07-22 04:11:59,230,9812.5,Second Class,1,95,76,1,2.79
Toronto,YYZ,DL811,7,2,2025-07-21 21:11:59,2025-07-22 04:11:59,230,9812.5,Economy,2,64,61,2,1.67
